Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,F,A,,C,1,Urban,Y
Male,Yes,1,Graduate,No,E,B,B,C,1,Rural,N
Male,Yes,0,Graduate,Yes,D,A,A,C,1,Urban,Y
Male,Yes,0,Not Graduate,No,C,C,B,C,1,Urban,Y
Male,No,0,Graduate,No,G,A,B,C,1,Urban,Y
Male,Yes,2,Graduate,Yes,F,E,C,C,1,Urban,Y
Male,Yes,0,Not Graduate,No,C,B,A,C,1,Urban,Y
Male,Yes,3+,Graduate,No,D,C,B,C,0,Semiurban,N
Male,Yes,2,Graduate,No,E,B,B,C,1,Urban,Y
Male,Yes,1,Graduate,No,K,K,D,C,1,Semiurban,N
Male,Yes,2,Graduate,No,D,A,A,C,1,Urban,Y
Male,Yes,2,Graduate,,C,B,B,C,1,Urban,Y
Male,Yes,2,Graduate,No,D,I,C,C,1,Urban,Y
Male,No,0,Graduate,No,B,C,B,C,1,Rural,N
Male,Yes,2,Graduate,No,B,B,A,A,1,Urban,Y
Male,No,0,Graduate,No,E,A,B,C,1,Urban,Y
Male,No,1,Not Graduate,No,D,A,B,B,,Urban,Y
Female,No,0,Graduate,No,D,A,A,C,0,Urban,N
Male,Yes,0,Not Graduate,No,E,A,B,C,1,Rural,N
Male,Yes,0,Graduate,,C,D,B,,1,Urban,Y
Male,Yes,0,Not Graduate,No,H,A,B,C,0,Urban,N
Male,Yes,1,Graduate,No,F,F,D,C,1,Urban,Y
Male,Yes,0,Not Graduate,No,C,B,B,C,0,Semiurban,N
,Yes,2,Not Graduate,No,D,B,B,C,0,Rural,N
Male,Yes,1,Graduate,,D,C,B,C,,Semiurban,N
Male,Yes,0,Graduate,Yes,J,A,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,E,B,B,C,1,Urban,Y
Male,No,0,Not Graduate,No,B,A,A,C,1,Urban,N
Female,No,2,Graduate,,D,C,B,C,1,Semiurban,Y
Male,Yes,1,Graduate,,E,D,C,C,,Urban,N
Male,No,0,Graduate,No,D,A,A,C,1,Urban,N
Male,No,1,Graduate,Yes,E,A,B,C,1,Rural,N
Male,Yes,0,Graduate,No,D,B,B,C,1,Semiurban,Y
Male,No,3+,Graduate,No,K,D,D,C,1,Rural,N
Male,Yes,0,Graduate,No,C,C,,C,1,Urban,Y
Male,Yes,0,Graduate,No,B,B,B,,0,Urban,N
Female,Yes,0,Graduate,No,D,B,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,E,H,B,C,1,Urban,Y
Male,No,0,Not Graduate,No,D,B,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,D,A,A,C,1,Urban,N
Male,No,0,Graduate,No,B,B,A,C,1,Urban,Y
Male,Yes,0,Graduate,No,C,A,A,C,,Urban,Y
Male,Yes,0,Graduate,No,D,C,B,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,E,A,A,,1,Urban,Y
Female,No,0,Graduate,No,D,A,A,,1,Urban,Y
